num,name,blog or review,visitor review content
1,배곧 우정횟집,방문자 리뷰,"가족 모임으로 다녀왔습니다. 좋은 리뷰 평가가 많아서 일단 믿고 왔는데, 부부 사장님 친절한거부터 매장이 넓고 청결해서 가족들이 너무 만족해해서 뿌듯했습니
다. 그리고, 개인적으로 미식가적 자부심과  특히 회를 좋아해서 여기저기 많이 가봤는데, 여기가 최고네요. 사이드로 나오는 음식도 따뜻하게 그때그때 정성이 들
어가 있는 모양새로 나와서 더 좋았습니다. 오이도가 집에서 그리 멀지도 않아서 분위기 내는 외곽으로 드라이브겸 자주와야겠어요. 오늘 정말 잘먹고 만족..."
2,배곧 우정횟집,방문자 리뷰,"주말에 어디갈까 하다가 티맵에 오이도맛집 치니 똭! 하고 우정회집이 나오더라구요. 역시나였어요. 봄엔 도다리라 도다리회 시켰는데..와아~~진짜 뻥 안치고 살살 녹았어요^^회맛도 최고지만, 특히 사진에 찍은 따뜻한 요리들이 줄줄이나와서 무슨 코스요리집 온 줄?ㅋㅋㅋㅋ최고입니다. 기분좋게 먹고 마시고 가네요. 돈이 전혀 아깝지 않은! 근데 마지막 매운탕 진짜 누가 끓인건가요? 달달하면서도 칼칼한...또 가고싶네요..내 맛집리스트에 저장^^"
3,배곧 우정횟집,방문자 리뷰,"결혼기념일 남편이랑 다녀왔습니다.
5월 제철 - 도다리 회. 밑반찬에 시키다시, 매운탕까지 배불리 먹고 왔습니다. 뷰도 좋고 사장님 친절하시고... 좋은 추억 남기고 왔습니다. "
4,배곧 우정횟집,방문자 리뷰,거래처 사장님 추천으로 왔다가 완전 맛있게 잘 먹었어요. 음식 진짜 깔끔하고 맛있어서 명함 챙겨 왔습니다. 앞으로 모임이나 접대는 우정횟집에서 하기로~~
5,배곧 우정횟집,방문자 리뷰,"오이도에서 제일 멋진 횟집입니다.
맛있어요."
6,배곧 우정횟집,방문자 리뷰,우정횟집 너무나 좋아요 주고 좋고 음식도 맛있으며 써빙하시는 분도 너무 친절해용^^ 오이도 오면 여기만 와요^^
7,배곧 우정횟집,방문자 리뷰,"회먹으러 찾다가 오게 됐어요!
3층에 안경쓰신 이모님 정말 친절하시구 웃으시면서 계속 말씀해주셔서 제 첫 오이도 여행이 너무 기분좋게 기억될 것 같아요!!
맛있게 잘 먹고 갑니다!!"
8,배곧 우정횟집,방문자 리뷰,물회가 중독적이고 게장과 칼국수가 적당히 간이 되어서 맛있어요 :) 바쁘신것같지만 친절하셔서 좋았어요. 뷰도 굿
9,배곧 우정횟집,방문자 리뷰,"밑반찬양이 미쳤고 사장님이 너무너무 친절해요… 
서비스가 계속나와요.. ㅠㅠ 배터집니다 진짜 "
10,배곧 우정횟집,방문자 리뷰,외국에서 온 할머니 회 먹구 싶다고 하셔서 같이 왔습니다. 음식도 맛있구 분위기도 좋구 좋습니다.
11,배곧 우정횟집,방문자 리뷰,"너무 신선하고 맛있어요!!
이모님도 친절하고 넓고 깨끗해요
밑반찬도 다양하게 나오고 맛있는게 최고"
12,배곧 우정횟집,방문자 리뷰,오랜만에 갔는데 가격은 올랐는데 음식이 형편없네요...... 나오던 밑반찬수도 엄청 줄었구요 모듬회랑 물회는 절대 시키지마세요
13,배곧 우정횟집,방문자 리뷰,"사장님도 친절하시고 기본 반찬과
해산물도 신선하고 맛있어요"
14,배곧 우정횟집,방문자 리뷰,뷰도 좋고 좋으신분들과 같이 왔는데 엄청 맛있습니다~ 담에도 또 오겠습니다
15,배곧 우정횟집,방문자 리뷰,안 남기고 다 먹음 짱맛있고 친절해용
