,num,name,blog or review,visitor review
69,10,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 맛집 소쇄원 단골이 되어 가네요. 고기 먹고 싶은 날 기분 좋은 날 배곧 쪽으로 가는 날 가성비 으뜸 맛도 좋고 서비스도 좋고 고기 땡길 땐 소쇄원으로.
70,11,배곧 소쇄원 배곧본점,방문자 리뷰,테라스 자리 있어서 너무 좋아요. 그리고 고기도 좋고 맛있어요. 동네에 사는 데 소고기 먹고 싶을 땐 여기로 오력 요.
71,12,배곧 소쇄원 배곧본점,방문자 리뷰,항상 미인 세트만 먹다가 소갈비 메뉴가 생겨서 먹어봤는데 소갈비도 너무 맛있어요. 반찬도 하나 하나 넘 맛있구요. 특히 술이 넘 차가워서 계속 들어가네요 사장님 장사 잘 하시네요. 재방문 의사 있습니다.
72,13,배곧 소쇄원 배곧본점,방문자 리뷰,일주일 만에 또 왔어요. 맛있어요.
73,14,배곧 소쇄원 배곧본점,방문자 리뷰,오늘 처음 방문 한 소쇄원 고기 부위별로 깃발이 있어서 너무 귀어웠어요 맛있었어요. 미인 세트 둘이 먹기 양도 넉넉하고 가격도 좋고 서비스 너무 감사합니다. 안 그래도 맛 보고 싶었거든요. 신선한 재료로 너무 감사한 식사였습니다.
74,15,배곧 소쇄원 배곧본점,방문자 리뷰,넘나맛나용 반찬이 조금 달아요.
75,16,배곧 소쇄원 배곧본점,방문자 리뷰,애기랑 같이 갔어 요리뷰 잘 안 쓰는데 정말 고기 맛있네요이 가격에 정말 가성비 최고네요 부모님 모시고 또 가야겠네요. 애기도 고기 맛있오 많이 파 세요.
76,17,배곧 소쇄원 배곧본점,방문자 리뷰,퀄리티 좋은 고기 맛나게 먹을 거에 오오오옹.
77,18,배곧 소쇄원 배곧본점,방문자 리뷰,감사합니다. 잘 먹었습니다.
78,19,배곧 소쇄원 배곧본점,방문자 리뷰,고기 질 너무 좋고 가격도 좋아요. 테라스에서 먹으니까 분위기 좋네요 추천합니다.
79,20,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 너무 맛있고 신선했어요. 배곧에서 여러 고깃집 다녔는데 너무 맛있었어요.
80,21,배곧 소쇄원 배곧본점,방문자 리뷰,테라스 자리 있어서 너무 좋아요. 그리고 고기도 좋고 맛있어요. 동네에 사는 데 소고기 먹고 싶을 땐 여기로 오력 요.
81,22,배곧 소쇄원 배곧본점,방문자 리뷰,항상 미인 세트만 먹다가 소갈비 메뉴가 생겨서 먹어봤는데 소갈비도 너무 맛있어요. 반찬도 하나 하나 넘 맛있구요. 특히 술이 넘 차가워서 계속 들어가네요 사장님 장사 잘 하시네요. 재방문 의사 있습니다.
82,23,배곧 소쇄원 배곧본점,방문자 리뷰,일주일 만에 또 왔어요. 맛있어요.
83,24,배곧 소쇄원 배곧본점,방문자 리뷰,오늘 처음 방문 한 소쇄원 고기 부위별로 깃발이 있어서 너무 귀어웠어요 맛있었어요. 미인 세트 둘이 먹기 양도 넉넉하고 가격도 좋고 서비스 너무 감사합니다. 안 그래도 맛 보고 싶었거든요. 신선한 재료로 너무 감사한 식사였습니다.
84,25,배곧 소쇄원 배곧본점,방문자 리뷰,넘나맛나용 반찬이 조금 달아요.
85,26,배곧 소쇄원 배곧본점,방문자 리뷰,애기랑 같이 갔어 요리뷰 잘 안 쓰는데 정말 고기 맛있네요이 가격에 정말 가성비 최고네요 부모님 모시고 또 가야겠네요. 애기도 고기 맛있오 많이 파 세요.
86,27,배곧 소쇄원 배곧본점,방문자 리뷰,퀄리티 좋은 고기 맛나게 먹을 거에 오오오옹.
87,28,배곧 소쇄원 배곧본점,방문자 리뷰,감사합니다. 잘 먹었습니다.
88,29,배곧 소쇄원 배곧본점,방문자 리뷰,고기 질 너무 좋고 가격도 좋아요. 테라스에서 먹으니까 분위기 좋네요 추천합니다.
89,30,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 너무 맛있고 신선했어요. 배곧에서 여러 고깃집 다녔는데 너무 맛있었어요.
90,31,배곧 소쇄원 배곧본점,방문자 리뷰,테라스 자리 있어서 너무 좋아요. 그리고 고기도 좋고 맛있어요. 동네에 사는 데 소고기 먹고 싶을 땐 여기로 오력 요.
91,32,배곧 소쇄원 배곧본점,방문자 리뷰,항상 미인 세트만 먹다가 소갈비 메뉴가 생겨서 먹어봤는데 소갈비도 너무 맛있어요. 반찬도 하나 하나 넘 맛있구요. 특히 술이 넘 차가워서 계속 들어가네요 사장님 장사 잘 하시네요. 재방문 의사 있습니다.
92,33,배곧 소쇄원 배곧본점,방문자 리뷰,일주일 만에 또 왔어요. 맛있어요.
93,34,배곧 소쇄원 배곧본점,방문자 리뷰,오늘 처음 방문 한 소쇄원 고기 부위별로 깃발이 있어서 너무 귀어웠어요 맛있었어요. 미인 세트 둘이 먹기 양도 넉넉하고 가격도 좋고 서비스 너무 감사합니다. 안 그래도 맛 보고 싶었거든요. 신선한 재료로 너무 감사한 식사였습니다.
94,35,배곧 소쇄원 배곧본점,방문자 리뷰,넘나맛나용 반찬이 조금 달아요.
95,36,배곧 소쇄원 배곧본점,방문자 리뷰,애기랑 같이 갔어 요리뷰 잘 안 쓰는데 정말 고기 맛있네요이 가격에 정말 가성비 최고네요 부모님 모시고 또 가야겠네요. 애기도 고기 맛있오 많이 파 세요.
96,37,배곧 소쇄원 배곧본점,방문자 리뷰,퀄리티 좋은 고기 맛나게 먹을 거에 오오오옹.
97,38,배곧 소쇄원 배곧본점,방문자 리뷰,감사합니다. 잘 먹었습니다.
98,39,배곧 소쇄원 배곧본점,방문자 리뷰,고기 질 너무 좋고 가격도 좋아요. 테라스에서 먹으니까 분위기 좋네요 추천합니다.
99,40,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 너무 맛있고 신선했어요. 배곧에서 여러 고깃집 다녔는데 너무 맛있었어요.
100,41,배곧 소쇄원 배곧본점,방문자 리뷰,고기는 맛있었음 하지만 전체적으로 정신 없구 직원들 불친절함.
101,42,배곧 소쇄원 배곧본점,방문자 리뷰,고기도 좋고 맛있고 서비스도 좋아요 가성비 좋고 자주 올 것 같아요.
102,43,배곧 소쇄원 배곧본점,방문자 리뷰,여기 저희 진짜 단골집이 예여. 고 기 신선하고 넘 맛있어요.
103,44,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있고 직원 분들도 친절해요.
104,45,배곧 소쇄원 배곧본점,방문자 리뷰,이런 거 처음인데 아주 괜찮은 것 같습니다. 반찬 주시던 분이 간 천엽 서비스로 주냐고 물어보고 5000원 하는 천엽도 받고 육회도 서비스 주시 고 넘 좋더라고요 인원이 좀 많아서 육회 한 입 씩 하면 끝났지만 그래도 좋더라고요 다음엔 전골 맛있다고 맛있다고 그래서 먹어보려 합니다.
105,46,배곧 소쇄원 배곧본점,방문자 리뷰,넓고 맛 잇어요. 이베리코 먹음.
106,47,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어서 자주 오는 편이예요.
107,48,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어요. 또 방문할 것 같아요.
108,49,배곧 소쇄원 배곧본점,방문자 리뷰,황제갈비몽땅 무려 400에 29000원 이 게 실화 네 헉 가격에 놀람 양에 더욱 놀람 맛에 더더욱 놀람 가성비 짱.
109,50,배곧 소쇄원 배곧본점,방문자 리뷰,고기는 맛있었음 하지만 전체적으로 정신 없구 직원들 불친절함.
110,51,배곧 소쇄원 배곧본점,방문자 리뷰,고기도 좋고 맛있고 서비스도 좋아요 가성비 좋고 자주 올 것 같아요.
111,52,배곧 소쇄원 배곧본점,방문자 리뷰,여기 저희 진짜 단골집이 예여. 고 기 신선하고 넘 맛있어요.
112,53,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있고 직원 분들도 친절해요.
113,54,배곧 소쇄원 배곧본점,방문자 리뷰,이런 거 처음인데 아주 괜찮은 것 같습니다. 반찬 주시던 분이 간 천엽 서비스로 주냐고 물어보고 5000원 하는 천엽도 받고 육회도 서비스 주시 고 넘 좋더라고요 인원이 좀 많아서 육회 한 입 씩 하면 끝났지만 그래도 좋더라고요 다음엔 전골 맛있다고 맛있다고 그래서 먹어보려 합니다.
114,55,배곧 소쇄원 배곧본점,방문자 리뷰,넓고 맛 잇어요. 이베리코 먹음.
115,56,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어서 자주 오는 편이예요.
116,57,배곧 소쇄원 배곧본점,방문자 리뷰,맛있어요. 또 방문할 것 같아요.
117,58,배곧 소쇄원 배곧본점,방문자 리뷰,황제갈비몽땅 무려 400에 29000원 이 게 실화 네 헉 가격에 놀람 양에 더욱 놀람 맛에 더더욱 놀람 가성비 짱.
118,59,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 숯불구이는 소쇄원.
119,60,배곧 소쇄원 배곧본점,방문자 리뷰,명품 와규는 사랑입니다.
120,61,배곧 소쇄원 배곧본점,방문자 리뷰,매장 들어왔는데 깔끔하고 넓었어요. 둘 다 음식 욕심 때문에 어떤 세트 시킬지 고민하는데 친절하게 알려주셨어요. 음식 나오는 것도 깔끔하고 된장찌개 꼭 시켜드세요.
121,62,배곧 소쇄원 배곧본점,방문자 리뷰,가족끼리 점심식사하러 왔는데 기 본 찬인 파김치 열무김치 부터 메인 메뉴까지 짱 맛잇어요.
122,63,배곧 소쇄원 배곧본점,방문자 리뷰,항상 맛있게 잘 먹고 가요.
123,64,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 넘 맛있어요.
124,65,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있어요. 재방문 할께요.
125,66,배곧 소쇄원 배곧본점,방문자 리뷰,깔끔하고 맛있고 서비스 육회도 베리굿이에요.
126,67,배곧 소쇄원 배곧본점,방문자 리뷰,맛있게 잘 먹었습니다.
127,68,배곧 소쇄원 배곧본점,방문자 리뷰,진짜 너무너무 맛있어요.
128,69,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 숯불구이는 소쇄원.
129,70,배곧 소쇄원 배곧본점,방문자 리뷰,명품 와규는 사랑입니다.
130,71,배곧 소쇄원 배곧본점,방문자 리뷰,매장 들어왔는데 깔끔하고 넓었어요. 둘 다 음식 욕심 때문에 어떤 세트 시킬지 고민하는데 친절하게 알려주셨어요. 음식 나오는 것도 깔끔하고 된장찌개 꼭 시켜드세요.
131,72,배곧 소쇄원 배곧본점,방문자 리뷰,가족끼리 점심식사하러 왔는데 기 본 찬인 파김치 열무김치 부터 메인 메뉴까지 짱 맛잇어요.
132,73,배곧 소쇄원 배곧본점,방문자 리뷰,항상 맛있게 잘 먹고 가요.
133,74,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 넘 맛있어요.
134,75,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있어요. 재방문 할께요.
135,76,배곧 소쇄원 배곧본점,방문자 리뷰,깔끔하고 맛있고 서비스 육회도 베리굿이에요.
136,77,배곧 소쇄원 배곧본점,방문자 리뷰,맛있게 잘 먹었습니다.
137,78,배곧 소쇄원 배곧본점,방문자 리뷰,진짜 너무너무 맛있어요.
138,79,배곧 소쇄원 배곧본점,방문자 리뷰,배곧 숯불구이는 소쇄원.
139,80,배곧 소쇄원 배곧본점,방문자 리뷰,명품 와규는 사랑입니다.
140,81,배곧 소쇄원 배곧본점,방문자 리뷰,매장 들어왔는데 깔끔하고 넓었어요. 둘 다 음식 욕심 때문에 어떤 세트 시킬지 고민하는데 친절하게 알려주셨어요. 음식 나오는 것도 깔끔하고 된장찌개 꼭 시켜드세요.
141,82,배곧 소쇄원 배곧본점,방문자 리뷰,가족끼리 점심식사하러 왔는데 기 본 찬인 파김치 열무김치 부터 메인 메뉴까지 짱 맛잇어요.
142,83,배곧 소쇄원 배곧본점,방문자 리뷰,항상 맛있게 잘 먹고 가요.
143,84,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 넘 맛있어요.
144,85,배곧 소쇄원 배곧본점,방문자 리뷰,고기가 맛있어요. 재방문 할께요.
145,86,배곧 소쇄원 배곧본점,방문자 리뷰,깔끔하고 맛있고 서비스 육회도 베리굿이에요.
146,87,배곧 소쇄원 배곧본점,방문자 리뷰,맛있게 잘 먹었습니다.
147,88,배곧 소쇄원 배곧본점,방문자 리뷰,진짜 너무너무 맛있어요.
148,1,배곧 경양카츠 배곧점,방문자 리뷰,분위기도 좋고 음식도 맛있어요. 일찍 가서 드시는 게 좋아요. 저녁엔 품절되는 메뉴가 좀 있네요.
149,2,배곧 경양카츠 배곧점,방문자 리뷰,깔끔하고 무엇보다 음식이 엄청 맛있는 집 분위기도 좋고 모든 게 백점 엄청 자주 옵다.
150,3,배곧 경양카츠 배곧점,방문자 리뷰,진짜 밋 있어요. 갬 동 조카랑 맛있게 먹으러 왔어요. 조카도 신나고 엄마도 좋아하고 다음에 또 올 확률 100 잘 먹었습니다. 추천.
151,4,배곧 경양카츠 배곧점,방문자 리뷰,인테리어도 예쁘고 음식도 진짜 맛있어요.
152,5,배곧 경양카츠 배곧점,방문자 리뷰,지나가다가 우연히 들어갔는데 좋았어요. 등 심보다 안심카츠가 맛있어요.
153,6,배곧 경양카츠 배곧점,방문자 리뷰,넘 맛있어서 5번째 방문해요.
154,7,배곧 경양카츠 배곧점,방문자 리뷰,남자친구가 맛있다고 또 오자네요.
155,8,배곧 경양카츠 배곧점,방문자 리뷰,꼭 와보고 싶던 곳이였는데 안심 촉촉하니 맛있고 나베도 간 적당해서 맛있게 잘 먹었습니다.
